id,claim,label,split,verdict,max_entail,max_contradict,max_gap,evidence_count
2999,I asked the unions to pay into their own health care insurance ... and they said I was being unreasonable. I requested that they contribute toward their own pensions ... and they screamed it was unfair.,barely-true,train,entail,0.9629276990890503,0.00035659034620039165,0.9625711087428499,1
9140,America never made up for the gutting of the intelligence services that Bill Clinton did. I think those are (former CIA director George) Tenet's words ... that Bill Clinton gutted American intelligence.,half-true,train,entail,0.6460034251213074,0.033539723604917526,0.6124637015163898,2
3491,"When Chuck Schumer and Marco Rubio tried to push amnesty, it was Ted Cruz who stopped them.",barely-true,train,contradict,4.314817488193512e-05,0.9996887445449829,0.999645596370101,1
5272,"Mayor Giuliani made New York City what's known as a 'sanctuary city,' where illegal aliens were allowed to come. And he instructed the leaders of the city not to enforce the law, not to enforce immigration law.",half-true,train,contradict,5.3127390856388956e-05,0.9994731545448303,0.9994200271539739,1
1,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,half-true,train,contradict,0.00010798841685755178,0.9994521737098694,0.9993441852930118,2
3797,I have a record on the environment of creating green energy ... taking trash and turning it into cash.,mostly-true,train,contradict,3.4235636121593416e-05,0.9994434714317322,0.9994092357956106,1
6649,"Many of (Hillary Clintons) friends took bigger deductions (than me). Warren Buffett took a massive deduction. (George) Soros, who is a friend of hers, took a massive deduction.",barely-true,train,contradict,0.000137904062285088,0.9994220733642578,0.9992841693019727,2
2854,Says Bernie Sanders advocated putting Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.,mostly-true,train,contradict,3.089649908361025e-05,0.9994156360626221,0.9993847395635385,1
5144,Says U.S. Sen. Ron Johnson voted to let oil and gas companies emit unlimited carbon pollution into our air,true,train,contradict,8.857234206516296e-05,0.9993754029273987,0.9992868305853335,1
3265,"Says if you are on your bike in a crosswalk, all you have to do is dip your wheel into the road and cars must legally stop.",true,train,contradict,2.3084034182829782e-05,0.9992901086807251,0.9992670246465423,1
425,"The so-called defense minister of the Peoples Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.",mostly-true,train,contradict,0.00010483942605787888,0.9988881945610046,0.9987833551349468,1
4821,Woodrow Wilson borrowed $30 billion to fund World War I in 1917. That money has not been paid back. And we are still paying interest on it.,barely-true,train,contradict,0.00022649529273621738,0.9988130331039429,0.9985865378112067,1
